0,200,customclass1,Primary Grenade,frag_grenade,100,1,
1,201,customclass1,Primary Weapon,m16,25,,
2,202,customclass1,Primary Attachment,reflex,2,,
3,203,customclass1,Secondary Weapon,skorpion,11,,
4,204,customclass1,Secondary Attachment,none,0,,
5,205,customclass1,Specialty1,specialty_specialgrenade,176,,
6,206,customclass1,Specialty2,specialty_twoprimaries,166,,
7,207,customclass1,Specialty3,specialty_quieter,153,,
8,208,customclass1,Special Grenade,concussion_grenade,103,2,
9,209,customclass1,Camo is not scripted for offline,camo_none,0,,

10,210,customclass2,Primary Grenade,frag_grenade,100,1,
11,211,customclass2,Primary Weapon,m4,26,,
12,212,customclass2,Primary Attachment,reflex,2,,
13,213,customclass2,Secondary Weapon,usp,2,,
14,214,customclass2,Secondary Attachment,none,0,,
15,215,customclass2,Specialty1,specialty_extraammo,165,,
16,216,customclass2,Specialty2,specialty_rof,163,,
17,217,customclass2,Specialty3,specialty_bulletpenetration,161,,
18,218,customclass2,Special Grenade,flash_grenade,101,1,
19,219,customclass2,Camo is not scripted for offline,camo_none,0,,

20,220,customclass3,Primary Grenade,frag_grenade,100,1,
21,221,customclass3,Primary Weapon,ak47,20,,
22,222,customclass3,Primary Attachment,none,0,,
23,223,customclass3,Secondary Weapon,deserteagle,3,,
24,224,customclass3,Secondary Attachment,none,0,,
25,225,customclass3,Specialty1,specialty_specialgrenade,176,,
26,226,customclass3,Specialty2,specialty_gpsjammer,151,,
27,227,customclass3,Specialty3,specialty_quieter,153,,
28,228,customclass3,Special Grenade,flash_grenade,101,2,
29,229,customclass3,Camo is not scripted for offline,camo_none,0,,

30,230,customclass4,Primary Grenade,frag_grenade,100,1,
31,231,customclass4,Primary Weapon,mp5,10,,
32,232,customclass4,Primary Attachment,none,0,,
33,233,customclass4,Secondary Weapon,deserteagle,3,,
34,234,customclass4,Secondary Attachment,none,0,,
35,235,customclass4,Specialty1,specialty_weapon_c4,184,,
36,236,customclass4,Specialty2,specialty_fastreload,164,,
37,237,customclass4,Specialty3,specialty_longersprint,154,,
38,238,customclass4,Special Grenade,smoke_grenade,102,1,
39,239,customclass4,Camo is not scripted for offline,camo_none,0,,

40,240,customclass5,Primary Grenade,frag_grenade,100,1,
41,241,customclass5,Primary Weapon,m40a3,61,,
42,242,customclass5,Primary Attachment,none,0,,
43,243,customclass5,Secondary Weapon,usp,2,,
44,244,customclass5,Secondary Attachment,none,0,,
45,245,customclass5,Specialty1,specialty_weapon_claymore,185,,
46,246,customclass5,Specialty2,specialty_bulletdamage,160,,
47,247,customclass5,Specialty3,specialty_bulletpenetration,161,,
48,248,customclass5,Special Grenade,smoke_grenade,102,1,
49,249,customclass5,Camo is not scripted for offline,camo_none,0,,